season,character,character_search,betweenness,degree,pagerank
1,Bob Belcher,Bob Belcher,0.0,0.021739130434782608,0.006037744172026036
1,Adrian Belew,Adrian Belew,0.0164573268921095,0.15217391304347827,0.05599060440846044
1,Belle,Belle,0.1140050609615827,0.08695652173913043,0.013787458503839788
1,Kumiko Albertson,Kumiko Albertson,0.12018978605935127,0.30434782608695654,0.07071305853113946
1,Chuck Berger,Chuck Berger,0.1600690131124913,0.3913043478260869,0.11259771293591146
1,Becky,Becky Shorter,0.0,0.043478260869565216,0.008475257368077464
1,Bill,Billy,0.0,0.021739130434782608,0.006037744172026036
1,Jasper Beardsley,Jasper Beardsley,0.487642051989878,0.6086956521739131,0.1796145534357797
1,Baz,Violet Bazaar,0.0,0.021739130434782608,0.006037744172026036
1,Barry Mackleberry,Barry Mackleberry,0.14861858753163093,0.2608695652173913,0.0635153910269929
2,Bill,Billy,0.0,0.0,0.022222222368034762
3,Belle,Belle,0.0,0.5,0.30303005715665693
5,Billy,Billy,0.0,0.0,0.02608704026386202
7,Bob Belcher,Bob Belcher,0.0,0.25,0.102484147095908
25,Bob Belcher,Bob Belcher,0.0,0.2,0.0884429400560755
25,Kumiko Albertson,Kumiko Albertson,0.2,0.5,0.22196068421164536
25,Billy Eichner,Billy,0.0,0.1,0.04508148357633614
25,Baz,Violet Bazaar,0.0,0.2,0.07840214528695962
